#DataThief /Users/bettyhu/Desktop/Screen Shot 2017-07-09 at 9.37.16 PM.png Sunday 9-Jul-2017 10:53:48 PM
0.9973, 2.1493e-6
1.0038, 2.1493e-6
1.0103, 2.1801e-6
1.0168, 2.2113e-6
1.0234, 2.2429e-6
1.0299, 2.275e-6
1.0364, 2.3076e-6
1.0429, 2.3406e-6
1.0493, 2.3741e-6
1.056, 2.3741e-6
1.0625, 2.4081e-6
1.069, 2.4081e-6
1.0755, 2.4425e-6
1.082, 2.4775e-6
1.0886, 2.4775e-6
1.0951, 2.5129e-6
1.1016, 2.5489e-6
1.1081, 2.5854e-6
1.1146, 2.5854e-6
1.1212, 2.6224e-6
1.1277, 2.6599e-6
1.1342, 2.6599e-6
1.1407, 2.698e-6
1.1472, 2.7366e-6
1.1538, 2.7757e-6
1.1602, 2.7757e-6
1.1668, 2.7757e-6
1.1733, 2.8154e-6
1.1798, 2.8557e-6
1.1864, 2.8557e-6
1.1929, 2.8966e-6
1.1994, 2.8966e-6
1.2059, 2.938e-6
1.2124, 2.9801e-6
1.219, 2.98e-6
1.2255, 3.0227e-6
1.232, 3.0227e-6
1.2385, 3.0659e-6
1.245, 3.0659e-6
1.2516, 3.1098e-6
1.2581, 3.1543e-6
1.2646, 3.1543e-6
1.2711, 3.1994e-6
1.2776, 3.2452e-6
1.2842, 3.2452e-6
1.2907, 3.2916e-6
1.2972, 3.2916e-6
1.3037, 3.3387e-6
1.3102, 3.3387e-6
1.3168, 3.3865e-6
1.3233, 3.3865e-6
1.3298, 3.4349e-6
1.3363, 3.4349e-6
1.3428, 3.4841e-6
1.3494, 3.5339e-6
1.3559, 3.5339e-6
1.3624, 3.5845e-6
1.3689, 3.5844e-6
1.3754, 3.6358e-6
1.382, 3.6357e-6
1.3885, 3.6357e-6
1.395, 3.6877e-6
1.4015, 3.7405e-6
1.408, 3.7405e-6
1.4144, 3.794e-6
1.4211, 3.794e-6
1.4276, 3.8483e-6
1.4341, 3.8483e-6
1.4405, 3.9033e-6
1.4471, 3.9033e-6
1.4537, 3.9592e-6
1.4602, 3.9591e-6
1.4667, 4.0158e-6
1.4732, 4.0158e-6
1.4797, 4.0158e-6
1.4863, 4.0732e-6
1.4928, 4.0732e-6
1.4993, 4.1315e-6
1.5058, 4.1315e-6
1.5123, 4.1906e-6
1.5189, 4.1906e-6
1.5253, 4.2505e-6
1.5319, 4.2505e-6
1.5384, 4.2505e-6
1.5449, 4.3113e-6
1.5514, 4.373e-6
1.558, 4.373e-6
1.5645, 4.373e-6
1.571, 4.4355e-6
1.5775, 4.4355e-6
1.584, 4.499e-6
1.5906, 4.499e-6
1.5971, 4.5633e-6
1.6036, 4.5633e-6
1.6101, 4.5633e-6
1.6166, 4.6286e-6
1.6232, 4.6286e-6
1.6297, 4.6948e-6
1.6362, 4.6948e-6
1.6427, 4.6947e-6
1.6492, 4.7619e-6
1.6558, 4.7619e-6
1.6623, 4.7619e-6
1.6688, 4.83e-6
1.6753, 4.83e-6
1.6818, 4.8991e-6
1.6884, 4.8991e-6
1.6949, 4.899e-6
1.7014, 4.9691e-6
1.7079, 4.9691e-6
1.7144, 4.9691e-6
1.721, 5.0402e-6
1.7275, 5.0401e-6
1.734, 5.0401e-6
1.7405, 5.1122e-6
1.7469, 5.1122e-6
1.7536, 5.1854e-6
